"Ewe.ID","line","Parity","dbeg","dend","bcsinit"
31665,237,1,19,209,2.928096105534
31665,237,2,408,582,2.68700402763063
31665,237,3,NA,NA,0
31676,238,1,27,148,2.77504518989459
31676,238,2,NA,NA,0
31676,238,3,NA,NA,0
31677,239,1,NA,NA,0
31677,239,2,375,618,2.93264001493324
31677,239,3,NA,NA,0
31679,240,1,23,268,3.26410143088099
31679,240,2,414,670,3.14329973676175
31679,240,3,NA,NA,0
31689,241,1,0,221,2.99874443445757
31689,241,2,383,540,2.70405366014869
31689,241,3,NA,NA,0
31691,242,1,0,121,3.29245086611278
31691,242,2,NA,NA,0
31691,242,3,NA,NA,0
31696,243,1,26,120,2.70045519839453
31696,243,2,NA,NA,0
31696,243,3,NA,NA,0
31697,244,1,19,234,2.8803624417217
31697,244,2,393,530,2.73253124315562
31697,244,3,815,917,2.89335458665943
31706,245,1,88,259,2.75448582533495
31706,245,2,423,616,2.71669477338582
31706,245,3,810,960,2.86823849966674
31710,246,1,33,203,2.69025191430524
31710,246,2,NA,NA,0
31710,246,3,NA,NA,0
31714,247,1,35,186,3.24064349781654
31714,247,2,386,529,2.80324674175183
31714,247,3,NA,NA,0
41002,248,1,0,292,2.902316615663
41002,248,2,581,690,2.83215100979058
41002,248,3,NA,NA,0
41006,249,1,23,310,2.96528425070735
41006,249,2,NA,NA,0
41006,249,3,NA,NA,0
41007,250,1,27,224,2.82650952000193
41007,250,2,NA,NA,0
41007,250,3,NA,NA,0
41008,251,1,34,283,3.34677319251704
41008,251,2,430,593,2.88308871090774
41008,251,3,776,920,2.95962779227453
41016,252,1,77,288,2.91472165758821
41016,252,2,401,545,2.78588408841112
41016,252,3,825,962,3.09459465099321
41019,253,1,6,246,3.31286610467866
41019,253,2,422,511,2.9345664994846
41019,253,3,NA,NA,0
41027,254,1,76,296,2.91595641079916
41027,254,2,430,670,2.71125927676678
41027,254,3,NA,NA,0
41030,255,1,0,242,3.29733067653617
41030,255,2,NA,NA,0
41030,255,3,NA,NA,0
41036,256,1,20,279,3.40736504696115
41036,256,2,415,560,3.06311034396967
41036,256,3,NA,NA,0
41039,257,1,15,310,3.6129685991988
41039,257,2,NA,NA,0
41039,257,3,NA,NA,0
41044,258,1,14,135,3.39784663305255
41044,258,2,580,690,2.82855648390724
41044,258,3,NA,NA,0
41047,259,1,23,293,3.80860042103208
41047,259,2,403,518,3.1264685539631
41047,259,3,NA,NA,0
41054,260,1,14,310,2.82994492699123
